"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - net production","2014","Kilowatt-hours, million","776","1"
"Afghanistan","Electricity - net production","2013","Kilowatt-hours, million","756.2","1"
"Afghanistan","Electricity - net production","2012","Kilowatt-hours, million","816",""
"Afghanistan","Electricity - net production","2011","Kilowatt-hours, million","719",""
"Afghanistan","Electricity - net production","2010","Kilowatt-hours, million","865",""
"Afghanistan","Electricity - net production","2009","Kilowatt-hours, million","836",""
"Afghanistan","Electricity - net production","2008","Kilowatt-hours, million","733",""
"Afghanistan","Electricity - net production","2007","Kilowatt-hours, million","897",""
"Afghanistan","Electricity - net production","2006","Kilowatt-hours, million","861",""
"Afghanistan","Electricity - net production","2005","Kilowatt-hours, million","856",""
"Afghanistan","Electricity - net production","2004","Kilowatt-hours, million","736",""
"Afghanistan","Electricity - net production","2003","Kilowatt-hours, million","932",""
"Afghanistan","Electricity - net production","2002","Kilowatt-hours, million","682.2",""
"Afghanistan","Electricity - net production","2001","Kilowatt-hours, million","650.1",""
"Afghanistan","Electricity - net production","2000","Kilowatt-hours, million","646.7",""
"Afghanistan","Electricity - net production","1999","Kilowatt-hours, million","644",""
"Afghanistan","Electricity - net production","1998","Kilowatt-hours, million","624",""
"Afghanistan","Electricity - net production","1997","Kilowatt-hours, million","628",""
"Afghanistan","Electricity - net production","1996","Kilowatt-hours, million","633",""
"Afghanistan","Electricity - net production","1995","Kilowatt-hours, million","633",""
"Afghanistan","Electricity - net production","1994","Kilowatt-hours, million","642",""
"Afghanistan","Electricity - net production","1993","Kilowatt-hours, million","650",""
"Afghanistan","Electricity - net production","1992","Kilowatt-hours, million","658",""
"Afghanistan","Electricity - net production","1991","Kilowatt-hours, million","945",""
"Afghanistan","Electricity - net production","1990","Kilowatt-hours, million","1055",""
"Afghanistan","Electricity - Consumption by households","2014","Kilowatt-hours, million","2204.9","1"
"Afghanistan","Electricity - Consumption by households","2013","Kilowatt-hours, million","1633.5",""
"Afghanistan","Electricity - Consumption by households","2012","Kilowatt-hours, million","1922",""
"Afghanistan","Electricity - Consumption by households","2011","Kilowatt-hours, million","1145",""
"Afghanistan","Electricity - Consumption by households","2010","Kilowatt-hours, million","1387",""
"Afghanistan","Electricity - Consumption by households","2009","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2008","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2007","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2006","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2005","Kilowatt-hours, million","150","1"
"Afghanistan","Electricity - Consumption by households","2004","Kilowatt-hours, million","150","1"
"Afghanistan","Electricity - Consumption by households","2003","Kilowatt-hours, million","135","1"
"Afghanistan","Electricity - Consumption by households","2002","Kilowatt-hours, million","125","1"
"Afghanistan","Electricity - Consumption by households","2001","Kilowatt-hours, million","98","1"
"Afghanistan","Electricity - Consumption by households","2000","Kilowatt-hours, million","100","1"
"Afghanistan","Electricity - Consumption by households","1999","Kilowatt-hours, million","100","1"
"Afghanistan","Electricity - Consumption by households","1998","Kilowatt-hours, million","115","1"
"Afghanistan","Electricity - Consumption by households","1997","Kilowatt-hours, million","122","1"
"Afghanistan","Electricity - Consumption by households","1996","Kilowatt-hours, million","162","1"
"Afghanistan","Electricity - Consumption by households","1995","Kilowatt-hours, million","180","1"
"Afghanistan","Electricity - Consumption by households","1994","Kilowatt-hours, million","200","1"
"Afghanistan","Electricity - Consumption by households","1993","Kilowatt-hours, million","203","1"
"Afghanistan","Electricity - Consumption by households","1992","Kilowatt-hours, million","205","1"
"Afghanistan","Electricity - Consumption by households","1991","Kilowatt-hours, million","250","1"
"Afghanistan","Electricity - Consumption by households","1990","Kilowatt-hours, million","282","1"
"Afghanistan","Electricity - Gross demand","2014","Kilowatt-hours, million","4486.8",""
"Afghanistan","Electricity - Gross demand","2013","Kilowatt-hours, million","4371.4",""
"Afghanistan","Electricity - Gross demand","2012","Kilowatt-hours, million","3887",""
"Afghanistan","Electricity - Gross demand","2011","Kilowatt-hours, million","3451",""
"Afghanistan","Electricity - Gross demand","2010","Kilowatt-hours, million","2732",""
"Afghanistan","Electricity - Gross demand","2009","Kilowatt-hours, million","1793",""
"Afghanistan","Electricity - Gross demand","2008","Kilowatt-hours, million","1568",""
"Afghanistan","Electricity - Gross demand","2007","Kilowatt-hours, million","1682",""
"Afghanistan","Electricity - Gross demand","2006","Kilowatt-hours, million","1455",""
"Afghanistan","Electricity - Gross demand","2005","Kilowatt-hours, million","993",""
"Afghanistan","Electricity - Gross demand","2004","Kilowatt-hours, million","836",""
"Afghanistan","Electricity - Gross demand","2003","Kilowatt-hours, million","1032",""
"Afghanistan","Electricity - Gross demand","2002","Kilowatt-hours, million","782.2",""
"Afghanistan","Electricity - Gross demand","2001","Kilowatt-hours, million","745.1",""
"Afghanistan","Electricity - Gross demand","2000","Kilowatt-hours, million","741.7",""
"Afghanistan","Electricity - Gross demand","1999","Kilowatt-hours, million","739",""
"Afghanistan","Electricity - Gross demand","1998","Kilowatt-hours, million","719",""
"Afghanistan","Electricity - Gross demand","1997","Kilowatt-hours, million","728",""
"Afghanistan","Electricity - Gross demand","1996","Kilowatt-hours, million","743",""
"Afghanistan","Electricity - Gross demand","1995","Kilowatt-hours, million","753",""
"Afghanistan","Electricity - Gross demand","1994","Kilowatt-hours, million","770",""
"Afghanistan","Electricity - Gross demand","1993","Kilowatt-hours, million","780",""
"Afghanistan","Electricity - Gross demand","1992","Kilowatt-hours, million","789",""
"Afghanistan","Electricity - Gross demand","1991","Kilowatt-hours, million","945",""
"Afghanistan","Electricity - Gross demand","1990","Kilowatt-hours, million","1055",""
"Albania","Electricity - net production","2014","Kilowatt-hours, million","4724.43",""
"Albania","Electricity - net production","2013","Kilowatt-hours, million","6956",""
