"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2014","20050189881.6659",""
"Afghanistan","2013","20046334303.9661",""
"Afghanistan","2012","20536542736.7297",""
"Afghanistan","2011","17930239399.8149",""
"Afghanistan","2010","15936800636.2487",""
"Afghanistan","2009","12486943505.7381",""
"Afghanistan","2008","10190529882.4878",""
"Afghanistan","2007","9843842455.48323",""
"Afghanistan","2006","7057598406.61553",""
"Afghanistan","2005","6275076016.47174",""
"Afghanistan","2004","5285461999.33739",""
"Afghanistan","2003","4583648921.64112",""
"Afghanistan","2002","4128818042.25508",""
"Afghanistan","2001","2461666314.78366",""
"Albania","2014","13277963807.0823",""
"Albania","2013","12781029643.5936",""
"Albania","2012","12319784787.2987",""
"Albania","2011","12890867538.5302",""
"Albania","2010","11926953258.916",""
"Albania","2009","12044212903.8168",""
"Albania","2008","12881352687.7773",""
"Albania","2007","10701011896.7708",""
"Albania","2006","8992642348.95796",""
"Albania","2005","8158548716.52941",""
"Albania","2004","7314865175.67485",""
"Albania","2003","5746945912.88569",""
"Albania","2002","4435078647.86039",""
"Albania","2001","4060758804.1064",""
"Albania","2000","3632043907.78974",""
"Algeria","2014","213518488688.12",""
"Algeria","2013","209703529364.331",""
"Algeria","2012","209047389599.67",""
"Algeria","2011","200013050828.17",""
"Algeria","2010","161207268840.911",""
"Algeria","2009","137211039899.57",""
"Algeria","2008","171000692134.748",""
"Algeria","2007","134977088396.419",""
"Algeria","2006","117027304787.836",""
"Algeria","2005","103198229168.23",""
"Algeria","2004","85324998959.3018",""
"Algeria","2003","67863829704.7613",""
"Algeria","2002","56760288396.3756",""
"Algeria","2001","54744714109.9527",""
"Algeria","2000","54790060512.8887",""
"Andorra","2013","3249100666.87102",""
"Andorra","2012","3146177740.6367",""
"Andorra","2011","3427235708.64326",""
"Andorra","2010","3346317328.52461",""
"Andorra","2009","3649863492.52426",""
"Andorra","2008","4001349339.57053",""
"Andorra","2007","4010785102.05129",""
"Andorra","2006","3536451645.56431",""
"Andorra","2005","3248134606.77511",""
"Andorra","2004","2916913449.18143",""
"Andorra","2003","2373836214.46563",""
"Andorra","2002","1717563532.6986",""
"Andorra","2001","1484004617.40835",""
"Andorra","2000","1401694155.6973",""
"Angola","2014","126775134686.437",""
"Angola","2013","124912063308.202",""
"Angola","2012","115398371427.673",""
"Angola","2011","104115923082.737",""
"Angola","2010","82470913120.7314",""
"Angola","2009","75492384801.3695",""
"Angola","2008","84178032716.0971",""
"Angola","2007","60448921272.2326",""
"Angola","2006","41789478661.3096",""
"Angola","2005","28233712830.9035",""
"Angola","2004","19640848728.8937",""
"Angola","2003","14188949190.618",""
"Angola","2002","12497346669.6684",""
"Angola","2001","8936063723.20121",""
"Angola","2000","9129634978.33773",""
"Antigua and Barbuda","2014","1220976000",""
"Antigua and Barbuda","2013","1200587518.51852",""
"Antigua and Barbuda","2012","1204713111.11111",""
"Antigua and Barbuda","2011","1129918370.37037",""
"Antigua and Barbuda","2010","1135539037.03704",""
"Antigua and Barbuda","2009","1206410370.37037",""
"Antigua and Barbuda","2008","1347349851.85185",""
"Antigua and Barbuda","2007","1289254333.33333",""
"Antigua and Barbuda","2006","1135143592.59259",""
"Antigua and Barbuda","2005","997374111.111111",""
"Antigua and Barbuda","2004","898356148.148148",""
"Antigua and Barbuda","2003","839996370.37037",""
"Antigua and Barbuda","2002","802529333.333333",""
"Antigua and Barbuda","2001","773765185.185185",""
"Antigua and Barbuda","2000","783837851.851852",""
"Arab World","2014","2873599811404.59",""
"Arab World","2013","2846994251978.35",""
"Arab World","2012","2773269952553.33",""
"Arab World","2011","2497944765462.02",""
"Arab World","2010","2103824906396.06",""
"Arab World","2009","1798878411325.04",""
"Arab World","2008","2081342637384.07",""
"Arab World","2007","1641666468060.34",""
"Arab World","2006","1404189584203.33",""
"Arab World","2005","1184734704133.27",""
"Arab World","2004","963918019742.793",""
"Arab World","2003","821870171005.435",""
"Arab World","2002","727993853983.451",""
"Arab World","2001","722150596685.868",""
"Arab World","2000","733948100679.029",""
"Argentina","2014","529726189460.922",""
"Argentina","2013","554155198994.424",""
"Argentina","2012","548934618735.756",""
"Argentina","2011","533200293249.748",""
"Argentina","2010","425916078731.8",""
"Argentina","2009","334490355492.26",""
"Argentina","2008","363137495039.856",""
"Argentina","2007","288833322724.044",""
"Argentina","2006","233581686065.467",""
"Argentina","2005","199495534687.577",""
"Argentina","2004","164657930461.189",""
"Argentina","2003","127586973492.177",""
"Argentina","2002","97724004251.8602",""
"Argentina","2001","268696750000",""
"Argentina","2000","284203750000",""
"Armenia","2014","11644438422.9844",""
"Armenia","2013","11121465767.4067",""
"Armenia","2012","10619320048.5857",""
"Armenia","2011","10142111334.4961",""
"Armenia","2010","9260284937.79781",""
"Armenia","2009","8647936747.98704",""
"Armenia","2008","11662040713.8753",""
"Armenia","2007","9206301700.39619",""
"Armenia","2006","6384451606.1421",""
"Armenia","2005","4900469515.07252",""
"Armenia","2004","3576615240.41616",""
"Armenia","2003","2807061008.69084",""
"Armenia","2002","2376335048.39976",""
"Armenia","2001","2118467913.37873",""
"Armenia","2000","1911563665.39006",""
"Aruba","2011","2584463687.15084",""
"Aruba","2010","2467703910.61453",""
"Aruba","2009","2498932960.89385",""
"Aruba","2008","2791960893.85475",""
"Aruba","2007","2623726256.98324",""
"Aruba","2006","2421474860.3352",""
"Aruba","2005","2331005586.59218",""
"Aruba","2004","2228279329.60894",""
"Aruba","2003","2021301675.97765",""
"Aruba","2002","1941094972.06704",""
"Aruba","2001","1920262569.8324",""
"Aruba","2000","1873452513.96648",""
"Australia","2014","1454675479665.84",""
"Australia","2013","1563950959269.52",""
"Australia","2012","1537477830480.51",""
"Australia","2011","1389919156068.22",""
"Australia","2010","1142250506474.06",""
"Australia","2009","926563834486.821",""
"Australia","2008","1054557743957.03",""
"Australia","2007","853053309256.497",""
"Australia","2006","746880802635.52",""
"Australia","2005","693075477371.824",""
"Australia","2004","612695262483.995",""
"Australia","2003","466348281887.012",""
"Australia","2002","394196316450.398",""
"Australia","2001","378459268004.723",""
"Australia","2000","414951956289.644",""
"Austria","2014","436887543466.95",""
"Austria","2013","428698577647.394",""
"Austria","2012","407373026611.605",""
"Austria","2011","429010675562.969",""
"Austria","2010","390235099337.748",""
"Austria","2009","397594276187.83",""
"Austria","2008","427611527757.434",""
"Austria","2007","386458951546.674",""
"Austria","2006","334309371471.584",""
"Austria","2005","314648986444.472",""
"Austria","2004","299857238639.185",""
"Austria","2003","260721478555.305",""
"Austria","2002","212970685111.989",""
"Austria","2001","196953628635.347",""
"Austria","2000","196421706283.398",""
"Azerbaijan","2014","75198010965.1919",""
"Azerbaijan","2013","73560484384.9586",""
"Azerbaijan","2012","68730906313.6456",""
"Azerbaijan","2011","65951627200.2026",""
"Azerbaijan","2010","52902703376.1056",""
"Azerbaijan","2009","44291490420.5026",""
"Azerbaijan","2008","48852482960.0779",""
"Azerbaijan","2007","33050343782.7759",""
"Azerbaijan","2006","20983019923.8863",""
"Azerbaijan","2005","13245421880.834",""
"Azerbaijan","2004","8680511918.49357",""
"Azerbaijan","2003","7275766111.24309",""
"Azerbaijan","2002","6236024951.20423",""
"Azerbaijan","2001","5707618246.56848",""
"Azerbaijan","2000","5272617196.04517",""
"Bahamas, The","2014","8510500000",""
"Bahamas, The","2013","8431750000",""
"Bahamas, The","2012","8234470000",""
"Bahamas, The","2011","7889750000",""
"Bahamas, The","2010","7909580000",""
"Bahamas, The","2009","7820420000",""
"Bahamas, The","2008","8246650000",""
"Bahamas, The","2007","8318996000",""
"Bahamas, The","2006","7965588000",""
"Bahamas, The","2005","7706222000",""
"Bahamas, The","2004","7094413000",""
"Bahamas, The","2003","6949317000",""
"Bahamas, The","2002","6957996000",""
"Bahamas, The","2001","6516651000",""
"Bahamas, The","2000","6327552000",""
"Bahrain","2014","33851063829.7872",""
"Bahrain","2013","32897606382.9787",""
"Bahrain","2012","30756462765.9574",""
"Bahrain","2011","29044069148.9362",""
"Bahrain","2010","25713271276.5957",""
"Bahrain","2009","22938218085.1064",""
"Bahrain","2008","25710877659.5745",""
"Bahrain","2007","21730000000",""
"Bahrain","2006","18505053191.4894",""
"Bahrain","2005","15968726861.7021",""
"Bahrain","2004","13150166755.3191",""
"Bahrain","2003","11074822074.4681",""
"Bahrain","2002","9632155053.19149",""
"Bahrain","2001","8976207712.76596",""
"Bahrain","2000","9062906914.89362",""
"Bangladesh","2014","172885454931.453",""
"Bangladesh","2013","149990451022.29",""
"Bangladesh","2012","133355749482.478",""
"Bangladesh","2011","128637938711.386",""
"Bangladesh","2010","115279077465.226",""
"Bangladesh","2009","102477791472.39",""
"Bangladesh","2008","91631278239.3237",""
"Bangladesh","2007","79611888213.148",""
"Bangladesh","2006","71819083683.7403",""
"Bangladesh","2005","69442943089.4309",""
"Bangladesh","2004","65108544250.0425",""
"Bangladesh","2003","60158929188.2556",""
"Bangladesh","2002","54724081490.5102",""
"Bangladesh","2001","53991289844.3291",""
"Bangladesh","2000","53369787318.6245",""
"Barbados","2014","4354500000",""
"Barbados","2013","4281000000",""
"Barbados","2012","4313000000",""
"Barbados","2011","4358000000",""
"Barbados","2010","4445500000",""
"Barbados","2009","4602000000",""
"Barbados","2008","4595000000",""
"Barbados","2007","4546000000",""
"Barbados","2006","4303500000",""
"Barbados","2005","3897500000",""
"Barbados","2004","3514500000",""
"Barbados","2003","3275000000",""
"Barbados","2002","3169500000",""
"Barbados","2001","3116500000",""
"Barbados","2000","3121500000",""
"Belarus","2014","76103961203.4406",""
"Belarus","2013","73097619636.8209",""
"Belarus","2012","63615445566.8483",""
"Belarus","2011","59734593904.6402",""
"Belarus","2010","55220932613.958",""
"Belarus","2009","49208656976.039",""
"Belarus","2008","60752177438.8895",""
"Belarus","2007","45275747860.6442",""
"Belarus","2006","36961821893.6976",""
"Belarus","2005","30210091836.8294",""
"Belarus","2004","23141587717.7633",""
"Belarus","2003","17825436034.5366",""
"Belarus","2002","14594925392.9691",""
"Belarus","2001","12354820143.8849",""
"Belarus","2000","12736856485.1068",""
"Belgium","2014","531234803749.453",""
"Belgium","2013","521370527591.376",""
"Belgium","2012","497815990388.023",""
"Belgium","2011","526975257158.743",""
"Belgium","2010","483577483443.709",""
"Belgium","2009","484552653514.865",""
"Belgium","2008","518626043650.212",""
