"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - Consumption by households","2014","Kilowatt-hours, million","2204.9","1"
"Afghanistan","Electricity - Consumption by households","2013","Kilowatt-hours, million","1633.5",""
"Afghanistan","Electricity - Consumption by households","2012","Kilowatt-hours, million","1922",""
"Afghanistan","Electricity - Consumption by households","2011","Kilowatt-hours, million","1145",""
"Afghanistan","Electricity - Consumption by households","2010","Kilowatt-hours, million","1387",""
"Afghanistan","Electricity - Consumption by households","2009","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2008","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2007","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2006","Kilowatt-hours, million","300","1"
"Afghanistan","Electricity - Consumption by households","2005","Kilowatt-hours, million","150","1"
"Afghanistan","Electricity - Consumption by households","2004","Kilowatt-hours, million","150","1"
"Afghanistan","Electricity - Consumption by households","2003","Kilowatt-hours, million","135","1"
"Afghanistan","Electricity - Consumption by households","2002","Kilowatt-hours, million","125","1"
"Afghanistan","Electricity - Consumption by households","2001","Kilowatt-hours, million","98","1"
"Afghanistan","Electricity - Consumption by households","2000","Kilowatt-hours, million","100","1"
"Afghanistan","Electricity - Consumption by households","1999","Kilowatt-hours, million","100","1"
"Afghanistan","Electricity - Consumption by households","1998","Kilowatt-hours, million","115","1"
"Afghanistan","Electricity - Consumption by households","1997","Kilowatt-hours, million","122","1"
"Afghanistan","Electricity - Consumption by households","1996","Kilowatt-hours, million","162","1"
"Afghanistan","Electricity - Consumption by households","1995","Kilowatt-hours, million","180","1"
"Afghanistan","Electricity - Consumption by households","1994","Kilowatt-hours, million","200","1"
"Afghanistan","Electricity - Consumption by households","1993","Kilowatt-hours, million","203","1"
"Afghanistan","Electricity - Consumption by households","1992","Kilowatt-hours, million","205","1"
"Afghanistan","Electricity - Consumption by households","1991","Kilowatt-hours, million","250","1"
"Afghanistan","Electricity - Consumption by households","1990","Kilowatt-hours, million","282","1"
"Albania","Electricity - Consumption by households","2014","Kilowatt-hours, million","3500",""
"Albania","Electricity - Consumption by households","2013","Kilowatt-hours, million","3859.53",""
"Albania","Electricity - Consumption by households","2012","Kilowatt-hours, million","3052.33",""
"Albania","Electricity - Consumption by households","2011","Kilowatt-hours, million","2711.74",""
"Albania","Electricity - Consumption by households","2010","Kilowatt-hours, million","2587.44",""
"Albania","Electricity - Consumption by households","2009","Kilowatt-hours, million","2604.65",""
"Albania","Electricity - Consumption by households","2008","Kilowatt-hours, million","2325.58",""
"Albania","Electricity - Consumption by households","2007","Kilowatt-hours, million","1965.1","1"
"Albania","Electricity - Consumption by households","2006","Kilowatt-hours, million","1977",""
"Albania","Electricity - Consumption by households","2005","Kilowatt-hours, million","2733",""
"Albania","Electricity - Consumption by households","2004","Kilowatt-hours, million","2791",""
"Albania","Electricity - Consumption by households","2003","Kilowatt-hours, million","3011",""
"Albania","Electricity - Consumption by households","2002","Kilowatt-hours, million","3070",""
"Albania","Electricity - Consumption by households","2001","Kilowatt-hours, million","2405",""
"Albania","Electricity - Consumption by households","2000","Kilowatt-hours, million","2463",""
"Albania","Electricity - Consumption by households","1999","Kilowatt-hours, million","2221",""
"Albania","Electricity - Consumption by households","1998","Kilowatt-hours, million","1500",""
"Albania","Electricity - Consumption by households","1997","Kilowatt-hours, million","1105",""
"Albania","Electricity - Consumption by households","1996","Kilowatt-hours, million","1175",""
"Albania","Electricity - Consumption by households","1995","Kilowatt-hours, million","883",""
"Albania","Electricity - Consumption by households","1994","Kilowatt-hours, million","780",""
"Albania","Electricity - Consumption by households","1993","Kilowatt-hours, million","800","1"
"Albania","Electricity - Consumption by households","1992","Kilowatt-hours, million","479",""
"Albania","Electricity - Consumption by households","1991","Kilowatt-hours, million","312",""
"Albania","Electricity - Consumption by households","1990","Kilowatt-hours, million","300","1"
"Algeria","Electricity - Consumption by households","2014","Kilowatt-hours, million","17579",""
"Algeria","Electricity - Consumption by households","2013","Kilowatt-hours, million","17181",""
"Algeria","Electricity - Consumption by households","2012","Kilowatt-hours, million","14764",""
"Algeria","Electricity - Consumption by households","2011","Kilowatt-hours, million","12915",""
"Algeria","Electricity - Consumption by households","2010","Kilowatt-hours, million","11757",""
"Algeria","Electricity - Consumption by households","2009","Kilowatt-hours, million","10190",""
"Algeria","Electricity - Consumption by households","2008","Kilowatt-hours, million","19920",""
"Algeria","Electricity - Consumption by households","2007","Kilowatt-hours, million","17716",""
"Algeria","Electricity - Consumption by households","2006","Kilowatt-hours, million","16601",""
"Algeria","Electricity - Consumption by households","2005","Kilowatt-hours, million","15912",""
"Algeria","Electricity - Consumption by households","2004","Kilowatt-hours, million","14952",""
"Algeria","Electricity - Consumption by households","2003","Kilowatt-hours, million","14316",""
"Algeria","Electricity - Consumption by households","2002","Kilowatt-hours, million","12819",""
"Algeria","Electricity - Consumption by households","2001","Kilowatt-hours, million","12034",""
"Algeria","Electricity - Consumption by households","2000","Kilowatt-hours, million","11331",""
"Algeria","Electricity - Consumption by households","1999","Kilowatt-hours, million","10569",""
"Algeria","Electricity - Consumption by households","1998","Kilowatt-hours, million","9586",""
"Algeria","Electricity - Consumption by households","1997","Kilowatt-hours, million","8541",""
"Algeria","Electricity - Consumption by households","1996","Kilowatt-hours, million","8438",""
"Algeria","Electricity - Consumption by households","1995","Kilowatt-hours, million","7966",""
"Algeria","Electricity - Consumption by households","1994","Kilowatt-hours, million","7608",""
"Algeria","Electricity - Consumption by households","1993","Kilowatt-hours, million","7125",""
"Algeria","Electricity - Consumption by households","1992","Kilowatt-hours, million","7119",""
"Algeria","Electricity - Consumption by households","1991","Kilowatt-hours, million","6422",""
"Algeria","Electricity - Consumption by households","1990","Kilowatt-hours, million","6056",""
"American Samoa","Electricity - Consumption by households","2014","Kilowatt-hours, million","40.313",""
"American Samoa","Electricity - Consumption by households","2013","Kilowatt-hours, million","40.546",""
"American Samoa","Electricity - Consumption by households","2012","Kilowatt-hours, million","39.9",""
"American Samoa","Electricity - Consumption by households","2011","Kilowatt-hours, million","41.8",""
"American Samoa","Electricity - Consumption by households","2010","Kilowatt-hours, million","45.3",""
"American Samoa","Electricity - Consumption by households","2009","Kilowatt-hours, million","42.7",""
"American Samoa","Electricity - Consumption by households","2008","Kilowatt-hours, million","45",""
"American Samoa","Electricity - Consumption by households","2007","Kilowatt-hours, million","47",""
"American Samoa","Electricity - Consumption by households","2006","Kilowatt-hours, million","47.9",""
"American Samoa","Electricity - Consumption by households","2005","Kilowatt-hours, million","48.3",""
"American Samoa","Electricity - Consumption by households","2004","Kilowatt-hours, million","46.2",""
"American Samoa","Electricity - Consumption by households","2003","Kilowatt-hours, million","45.3",""
"American Samoa","Electricity - Consumption by households","2002","Kilowatt-hours, million","42.6",""
"American Samoa","Electricity - Consumption by households","2001","Kilowatt-hours, million","40",""
"American Samoa","Electricity - Consumption by households","2000","Kilowatt-hours, million","40","1"
"American Samoa","Electricity - Consumption by households","1999","Kilowatt-hours, million","39","1"
"American Samoa","Electricity - Consumption by households","1998","Kilowatt-hours, million","38","1"
"American Samoa","Electricity - Consumption by households","1997","Kilowatt-hours, million","37","1"
"American Samoa","Electricity - Consumption by households","1996","Kilowatt-hours, million","35","1"
"American Samoa","Electricity - Consumption by households","1995","Kilowatt-hours, million","34","1"
"American Samoa","Electricity - Consumption by households","1994","Kilowatt-hours, million","30","1"
"American Samoa","Electricity - Consumption by households","1993","Kilowatt-hours, million","29",""
"American Samoa","Electricity - Consumption by households","1992","Kilowatt-hours, million","26",""
"American Samoa","Electricity - Consumption by households","1991","Kilowatt-hours, million","28",""
"American Samoa","Electricity - Consumption by households","1990","Kilowatt-hours, million","24",""
"Andorra","Electricity - Consumption by households","2014","Kilowatt-hours, million","93.012",""
"Andorra","Electricity - Consumption by households","2013","Kilowatt-hours, million","94.743",""
"Andorra","Electricity - Consumption by households","2012","Kilowatt-hours, million","92.249",""
"Andorra","Electricity - Consumption by households","2011","Kilowatt-hours, million","89.485",""
"Andorra","Electricity - Consumption by households","2010","Kilowatt-hours, million","96.419",""
"Andorra","Electricity - Consumption by households","2009","Kilowatt-hours, million","90.97",""
"Andorra","Electricity - Consumption by households","2008","Kilowatt-hours, million","91.9",""
"Andorra","Electricity - Consumption by households","2007","Kilowatt-hours, million","86.9",""
"Andorra","Electricity - Consumption by households","2006","Kilowatt-hours, million","84.8",""
"Andorra","Electricity - Consumption by households","2005","Kilowatt-hours, million","84.2",""
"Andorra","Electricity - Consumption by households","2004","Kilowatt-hours, million","83.6",""
"Andorra","Electricity - Consumption by households","2003","Kilowatt-hours, million","78.9",""
"Andorra","Electricity - Consumption by households","2002","Kilowatt-hours, million","76.7",""
"Andorra","Electricity - Consumption by households","2001","Kilowatt-hours, million","70",""
"Andorra","Electricity - Consumption by households","2000","Kilowatt-hours, million","69.1",""
"Andorra","Electricity - Consumption by households","1999","Kilowatt-hours, million","67.8",""
"Andorra","Electricity - Consumption by households","1998","Kilowatt-hours, million","65.4",""
"Andorra","Electricity - Consumption by households","1997","Kilowatt-hours, million","62.2",""
"Andorra","Electricity - Consumption by households","1996","Kilowatt-hours, million","62.5",""
"Andorra","Electricity - Consumption by households","1995","Kilowatt-hours, million","59.9",""
"Andorra","Electricity - Consumption by households","1994","Kilowatt-hours, million","58.5",""
"Andorra","Electricity - Consumption by households","1993","Kilowatt-hours, million","60.2",""
"Andorra","Electricity - Consumption by households","1992","Kilowatt-hours, million","60","1"
"Andorra","Electricity - Consumption by households","1991","Kilowatt-hours, million","60","1"
"Andorra","Electricity - Consumption by households","1990","Kilowatt-hours, million","60","1"
"Angola","Electricity - Consumption by households","2014","Kilowatt-hours, million","5421",""
"Angola","Electricity - Consumption by households","2013","Kilowatt-hours, million","4698",""
"Angola","Electricity - Consumption by households","2012","Kilowatt-hours, million","3548",""
"Angola","Electricity - Consumption by households","2011","Kilowatt-hours, million","3232",""
"Angola","Electricity - Consumption by households","2010","Kilowatt-hours, million","3108",""
"Angola","Electricity - Consumption by households","2009","Kilowatt-hours, million","2746",""
